Lake#	row	col	AreaRatio	OBJECTID	LakeName
1	452	157	0.196086449	30144	Andrews Lake
1	453	157	0.803913551	30144	Andrews Lake
2	552	195	0.011242697	65831	Governor Hill Lake
2	552	196	0.003902782	65831	Governor Hill Lake
2	553	195	0.187747485	65831	Governor Hill Lake
2	553	196	0.491416286	65831	Governor Hill Lake
2	553	197	0.030915621	65831	Governor Hill Lake
2	554	195	0.049589695	65831	Governor Hill Lake
2	554	196	0.225185434	65831	Governor Hill Lake
3	599	232	0.005177427	76956	Watermelon Pond
3	600	231	0.015959197	76956	Watermelon Pond
3	600	232	0.064390894	76956	Watermelon Pond
3	600	233	0.001458206	76956	Watermelon Pond
3	601	231	0.035886925	76956	Watermelon Pond
3	601	232	0.097231589	76956	Watermelon Pond
3	601	233	0.016710535	76956	Watermelon Pond
3	602	231	0.043858917	76956	Watermelon Pond
3	602	232	0.118761955	76956	Watermelon Pond
3	602	233	0.021378505	76956	Watermelon Pond
3	602	234	0.00190502	76956	Watermelon Pond
3	603	231	0.010720816	76956	Watermelon Pond
3	603	232	0.072631664	76956	Watermelon Pond
3	603	233	0.11461465	76956	Watermelon Pond
3	603	234	0.091018589	76956	Watermelon Pond
3	603	235	0.013728658	76956	Watermelon Pond
3	604	231	0.002181431	76956	Watermelon Pond
3	604	232	0.039941738	76956	Watermelon Pond
3	604	233	0.094931349	76956	Watermelon Pond
3	604	234	0.058235687	76956	Watermelon Pond
3	604	235	0.000357938	76956	Watermelon Pond
3	605	231	0.009756776	76956	Watermelon Pond
3	605	232	0.041696034	76956	Watermelon Pond
3	605	233	0.0274655	76956	Watermelon Pond
