LakeID	row	col	AreaRatio	s3_initi_1
40	520	266	0.000334142	520_266_Alligator_Lake
40	520	267	0.014614125	520_267_Alligator_Lake
40	521	266	0.487937448	521_266_Alligator_Lake
40	521	267	0.397986528	521_267_Alligator_Lake
40	522	266	0.099127756	522_266_Alligator_Lake
41	673	353	1	673_353_Argenta_Lake_at_Crescent_City
42	667	346	0.397754863	667_346_Banana_Lake_at_Lake_Como
42	667	347	0.602245137	667_347_Banana_Lake_at_Lake_Como
43	380	264	0.023161835	380_264_Banks
43	380	265	0.041491599	380_265_Banks
43	380	266	0.012049412	380_266_Banks
43	381	264	0.104010722	381_264_Banks
43	381	265	0.238231268	381_265_Banks
43	381	266	0.233541131	381_266_Banks
43	381	267	0.00623911	381_267_Banks
43	382	264	0.002682427	382_264_Banks
43	382	265	0.138762235	382_265_Banks
43	382	266	0.198161705	382_266_Banks
43	382	267	0.00161579	382_267_Banks
43	383	266	5.27662E-05	383_266_Banks
44	420	222	0.016968772	420_222_Beer_Garden_Swamp
44	420	223	0.041383853	420_223_Beer_Garden_Swamp
44	420	224	0.053045887	420_224_Beer_Garden_Swamp
44	421	222	0.139058684	421_222_Beer_Garden_Swamp
44	421	223	0.488120878	421_223_Beer_Garden_Swamp
44	421	224	0.261421925	421_224_Beer_Garden_Swamp
45	178	390	0.090280198	178_390_Ben_Hall_Lake
45	178	391	0.383197232	178_391_Ben_Hall_Lake
45	179	390	0.407392101	179_390_Ben_Hall_Lake
45	179	391	0.052247718	179_391_Ben_Hall_Lake
45	180	390	0.066882751	180_390_Ben_Hall_Lake
46	676	350	1	676_350_Bird_Pond_at_Crescent_City
47	606	267	0.009066063	606_267_Bivens_Arm
47	606	268	0.31482836	606_268_Bivens_Arm
47	606	269	0.017985826	606_269_Bivens_Arm
47	607	268	0.410608439	607_268_Bivens_Arm
47	607	269	0.247511312	607_269_Bivens_Arm
48	589	320	0.108257192	589_320_Blue_Pond_at_Keystone
48	590	319	0.002608978	590_319_Blue_Pond_at_Keystone
48	590	320	0.565283158	590_320_Blue_Pond_at_Keystone
48	590	321	0.254945924	590_321_Blue_Pond_at_Keystone
48	591	320	0.02029801	591_320_Blue_Pond_at_Keystone
48	591	321	0.048606738	591_321_Blue_Pond_at_Keystone
49	661	219	0.011545631	661_219_Bonable_Lake
49	662	218	0.119768526	662_218_Bonable_Lake
49	662	219	0.784977417	662_219_Bonable_Lake
49	663	218	0.038248836	663_218_Bonable_Lake
49	663	219	0.045459591	663_219_Bonable_Lake
50	702	279	0.125766854	702_279_Bowers_Lake
50	703	279	0.038343597	703_279_Bowers_Lake
50	703	280	0.015337428	703_280_Bowers_Lake
50	703	281	0.022010151	703_281_Bowers_Lake
50	703	282	0.002529711	703_282_Bowers_Lake
50	704	279	0.133809426	704_279_Bowers_Lake
50	704	280	0.502396157	704_280_Bowers_Lake
50	704	281	0.078214212	704_281_Bowers_Lake
50	704	282	6.63283E-06	704_282_Bowers_Lake
50	705	279	0.058725696	705_279_Bowers_Lake
50	705	280	0.022860134	705_280_Bowers_Lake
51	264	464	0.017579038	264_464_Brannen_Lake
51	265	464	0.461759355	265_464_Brannen_Lake
51	265	465	0.450653887	265_465_Brannen_Lake
51	266	464	0.049062366	266_464_Brannen_Lake
51	266	465	0.020945355	266_465_Brannen_Lake
52	630	300	0.141713237	630_300_Bream_Lake
52	631	299	0.046442212	631_299_Bream_Lake
52	631	300	0.811844552	631_300_Bream_Lake
53	421	225	0.787697331	421_225_Brown_Pond
53	421	226	0.19918162	421_226_Brown_Pond
53	422	225	0.013121048	422_225_Brown_Pond
54	552	293	0.101324894	552_293_Butler_Lake
54	552	294	0.170582729	552_294_Butler_Lake
54	553	292	0.008451965	553_292_Butler_Lake
54	553	293	0.34800931	553_293_Butler_Lake
54	553	294	0.320179419	553_294_Butler_Lake
54	554	293	0.03533743	554_293_Butler_Lake
54	554	294	0.016114253	554_294_Butler_Lake
55	707	350	0.170966995	707_350_Cain_Lake
55	707	351	0.005589021	707_351_Cain_Lake
55	708	350	0.427036982	708_350_Cain_Lake
55	708	351	0.396407002	708_351_Cain_Lake
56	242	458	0.181461178	242_458_Canoe_Pond
56	243	458	0.601922689	243_458_Canoe_Pond
56	244	457	0.113773576	244_457_Canoe_Pond
