SpngReachID,Layer,Row,Column,SPElev01,SPElev09
102,3,418,104,14.5,14.5
103,3,420,79,7.35,7.35
104,3,421,105,14.93,14.93
105,3,421,105,14.93,14.93
106,3,422,79,4.35,4.35
107,3,422,85,9,9
108,3,423,80,4.9,4.9
109,3,423,82,8,8
110,3,424,81,0.1,6.35
111,3,424,82,7.35,7.35
112,3,424,83,8,8
113,3,424,84,7.35,7.35
118,3,425,82,7.35,7.35
119,3,425,83,7.35,7.35
120,3,425,100,10.38,10.38
121,3,425,101,10.96,11.33
123,3,426,82,0.06,7.35
125,3,427,83,3.51,3.51
126,3,428,84,6.35,6.35
127,3,430,82,2.13,2.13
128,3,430,83,6.35,6.35
129,3,431,80,6.35,6.35
130,3,432,93,5.33,5.33
131,3,433,83,1.87,1.87
132,3,433,83,1.87,1.87
133,3,433,93,0.92,0.92
134,3,438,75,1.34,1.34
135,3,442,67,1.04,1.04
137,2,568,371,-0.05,-0.05
138,3,592,367,-0.05,-0.05
139,2,600,271,35.65,37.17
140,2,609,273,33.92,35.37
141,3,643,308,22.79,22.79
142,3,645,313,17.4,17.8
143,3,645,313,17.4,17.8
144,3,646,314,17.4,17.8
145,3,646,318,17.4,17.8
146,3,647,319,17.4,17.8
147,3,653,306,17.4,17.8
148,3,655,306,17.4,17.8
149,3,656,306,17.4,17.8
150,3,656,339,-0.02,-0.02
151,3,656,340,-0.02,-0.02
152,3,659,339,-0.15,-0.15
153,3,664,338,-0.55,-0.55
154,3,664,339,7.9,7.9
155,3,665,334,0,0
156,3,666,339,8.44,8.44
157,3,675,324,1.66,1.66
158,3,680,283,36.17,36.17
159,3,681,284,34.4,34.4
160,3,693,328,-0.44,0.2
161,3,693,328,-0.44,0.2
162,3,696,324,6.88,6.88
163,3,698,316,23.43,20.03
164,3,698,317,22.81,22.81
165,3,700,323,13.96,13.96
166,3,719,326,8.96,8.96
167,3,722,354,0.01,0.01
168,3,732,340,14.69,14.69
169,3,738,323,27.25,28.11
170,3,746,269,60.98,64
171,3,749,277,59.8,61.02
172,3,750,277,59.8,61.02
173,3,751,278,59.8,61.02
174,3,751,279,59.8,61.02
176,3,436,219,54.16,55.27
177,3,438,219,53,53.61
178,3,441,134,26.78,26.78
179,3,446,216,45.58,43.27
180,3,447,216,45.1,42.91
181,3,448,216,44.78,42.75
182,3,448,217,44.65,42.67
183,3,450,218,44.2,42.35
184,3,451,217,43.31,41.8
185,3,452,114,1,1
186,3,453,216,42.02,41.06
187,3,456,216,39.37,39.43
188,3,456,217,38.45,38.89
189,3,457,126,15,15
190,3,457,216,38,38.62
191,3,457,217,38.41,38.88
192,3,457,217,38.41,38.88
193,3,457,217,38.41,38.88
194,3,459,222,31.95,34.33
195,3,460,223,32.13,34.52
196,3,460,223,32.13,34.52
197,3,460,224,32.7,35.11
198,3,460,231,34.3,36.77
199,3,460,231,34.3,36.77
200,3,461,221,31.25,33.61
201,3,461,232,34.63,37.11
202,3,462,219,30.69,33.1
203,3,462,220,30.83,33.17
204,3,462,235,35.3,37.8
205,3,463,218,30.1,32.43
206,3,463,219,30.56,32.9
207,3,463,220,31.43,32.93
208,3,463,233,34.98,37.47
209,3,463,234,35.3,37.8
210,3,463,235,35.51,38.02
211,3,465,237,35.88,38.41
212,3,465,238,42.36,42.36
213,3,465,238,42.36,42.36
214,3,466,215,28.23,30.53
215,3,466,239,36.36,38.9
216,3,466,239,36.36,38.9
218,3,469,243,37.48,40.06
219,3,470,210,27.62,29.92
220,3,470,210,27.62,29.92
221,3,470,210,27.62,29.92
222,3,471,207,27.35,29.64
223,3,471,207,27.35,29.64
224,3,471,208,27.4,24.91
225,3,471,209,27.52,29.82
226,3,472,206,27.23,29.52
227,3,473,205,27,29.29
228,3,473,206,27.08,29.38
229,3,473,246,38.87,41.41
230,3,474,151,26,26.5
231,3,474,205,26.93,29.22
232,3,474,246,38.86,41.48
233,3,474,246,38.86,41.48
234,3,475,202,26.61,28.89
235,3,475,202,26.61,28.89
236,3,475,202,26.61,28.89
237,3,475,247,39.42,42.07
238,3,476,149,23.41,23.41
239,3,476,149,23.41,23.41
240,3,477,144,15.77,15.77
241,3,477,155,34.42,34.42
242,3,477,248,42.06,44.52
243,3,477,249,40.02,42.69
244,3,478,250,40.21,42.88
245,3,482,199,25.27,27.54
246,3,482,200,25.41,27.68
247,3,483,146,21.88,21.88
248,3,485,198,24.76,27.03
249,3,485,255,43.98,46.79
250,3,486,197,24.54,26.81
251,3,486,254,43.92,46.72
252,3,487,127,0.1,0.1
253,3,487,128,1.38,2.1
254,3,487,128,1.28,1.28
255,3,487,128,0.89,0.89
256,3,487,128,2.56,2.56
257,3,487,128,2.1,2.1
258,3,488,127,0.1,0.1
259,3,488,257,45.65,48.52
260,3,489,197,23.62,25.87
261,3,489,199,23.91,26.17
262,3,492,262,49.75,52.76
263,3,493,262,50.25,53.28
264,3,493,262,50.25,53.28
265,3,494,197,22.77,25.02
266,2,495,271,59.62,61.6
267,3,498,132,0.01,0.01
268,3,498,198,20.85,23.08
269,3,498,203,18.48,20.73
270,3,499,141,23.75,23.75
271,3,499,207,16,18
273,3,500,135,3.9,3.9
274,3,500,199,20.3,22.52
275,3,500,202,18.64,20.87
276,3,500,207,16,18
277,3,501,202,18.88,21.1
278,3,501,204,17.85,20.14
279,3,503,207,15.56,18.01
280,3,503,208,14.98,17.47
281,3,503,208,14.98,17.47
282,3,503,208,14.98,17.47
283,3,505,208,13.84,16.41
284,3,505,208,13.84,16.41
285,3,506,136,2.5,2.5
286,3,506,209,13.52,16.11
287,3,506,209,13.52,16.11
288,3,506,209,13.52,16.11
289,3,507,135,1,1
290,3,507,210,13.15,15.77
291,3,508,211,12.89,15.52
292,3,508,212,12.75,15.39
293,3,511,136,0.37,0.37
294,3,511,212,12.23,14.91
295,3,512,212,12.11,14.8
296,3,512,213,12,14.7
297,3,514,141,15.31,15.31
298,3,515,213,11.5,14.23
299,3,515,214,11.5,14.23
300,3,516,137,0.3,0.3
301,3,516,215,11.36,14.1
302,3,518,215,11.12,13.88
303,3,521,215,10.77,13.56
304,3,522,216,10.63,13.42
305,3,523,218,10.43,13.23
306,3,525,217,10.29,13.11
